,tradeNumber,orderNumber,tradedQty,tradePrice,tradeValue,productType,clientId,exchangeOrderNo,orderType,side,symbol,row,orderDateTime,fyToken,exchange,segment
0,23053000178619-27818582,23053000178619,7,413.4,2893.7999999999997,CNC,XR29657,1100000015255823,2,1,NSE:HINDALCO-EQ,1685430048,30-May-2023 12:30:48,10100000001363,10,10
1,23053000087583-26476932,23053000087583,7,418.2,2927.4,CNC,XR29657,1100000007904498,2,1,NSE:HINDALCO-EQ,1685422602,30-May-2023 10:26:42,10100000001363,10,10
