,tradeNumber,orderNumber,tradedQty,tradePrice,tradeValue,productType,clientId,exchangeOrderNo,orderType,side,symbol,row,orderDateTime,fyToken,exchange,segment
0,23053100099059-51325715,23053100099059,20,156.05,3121.0,CNC,XR29657,1200000007196362,2,1,NSE:ONGC-EQ,1685509054,31-May-2023 10:27:34,10100000002475,10,10
1,23053100327745-55360663,23053100327745,20,154.35,3087.0,CNC,XR29657,1200000024595672,2,1,NSE:ONGC-EQ,1685526869,31-May-2023 15:24:29,10100000002475,10,10
2,23053100183206-52456007,23053100183206,6,173.0,1038.0,CNC,XR29657,1200000013127869,2,1,NSE:NTPC-EQ,1685515416,31-May-2023 12:13:36,101000000011630,10,10
3,23053100099009-1229268,23053100099009,35,241.0,8435.0,CNC,XR29657,1000000006728882,2,1,NSE:COALINDIA-EQ,1685509052,31-May-2023 10:27:32,101000000020374,10,10
4,23053100098953-26560763,23053100098953,7,408.85,2861.9500000000003,CNC,XR29657,1100000008416791,2,1,NSE:HINDALCO-EQ,1685509048,31-May-2023 10:27:28,10100000001363,10,10
